SISTEMA ,REGION ,PROVINCIA,MUNICIPIO,GRUPO ,SUB GRUPO PDSS,CANTIDAD ,POB USUARIA,VALOR AUTORIZADO RD$,MES,ANO
AUTORIZACIONES,REGION 0,DISTRITO NACIONAL,DISTRITO NACIONAL,PREVENCION Y PROMOCION,PROGRAMA AMPLIADO DE INMUNIZACION PAI,77,48,4300.00,ENERO,2026
AUTORIZACIONES,REGION 0,DISTRITO NACIONAL,DISTRITO NACIONAL,PREVENCION Y PROMOCION,VACUNAS NO PAI,29,29,1450.00,ENERO,2026
AUTORIZACIONES,REGION 0,DISTRITO NACIONAL,DISTRITO NACIONAL,ATENCION AMBULATORIA,CONSULTA MEDICA NIVEL 2,6312,4521,1807778.40,ENERO,2026
AUTORIZACIONES,REGION 0,DISTRITO NACIONAL,DISTRITO NACIONAL,ATENCION AMBULATORIA,CONSULTA MEDICA NIVEL 3,2660,2105,532200.00,ENERO,2026
AUTORIZACIONES,REGION 0,DISTRITO NACIONAL,DISTRITO NACIONAL,ATENCION AMBULATORIA,CONSULTA MEDICINA GENERAL,18,17,3100.00,ENERO,2026
AUTORIZACIONES,REGION 0,DISTRITO NACIONAL,DISTRITO NACIONAL,SERVICIOS ODONTOLOGICOS,EXTRACCION DENTARIA,1,1,576.00,ENERO,2026
AUTORIZACIONES,REGION 0,DISTRITO NACIONAL,DISTRITO NACIONAL,EMERGENCIA,EMERGENCIA,1018,633,256047.46,ENERO,2026
AUTORIZACIONES,REGION 0,DISTRITO NACIONAL,DISTRITO NACIONAL,HOSPITALIZACION,HOSPITALIZACION GENERAL Y ESPECIALIDADES BASICAS,8568,130,11163545.26,ENERO,2026
AUTORIZACIONES,REGION 0,DISTRITO NACIONAL,DISTRITO NACIONAL,CIRUGIA,CIRUGIA,3558,508,41215176.59,ENERO,2026
AUTORIZACIONES,REGION 0,DISTRITO NACIONAL,DISTRITO NACIONAL,CIRUGIA,CIRUGIAS OFTALMOLOGICAS,447,96,1501890.08,ENERO,2026
AUTORIZACIONES,REGION 0,DISTRITO NACIONAL,DISTRITO NACIONAL,APOYO DIAGNOSTICO DX EN INTERNAMIENTO Y AMBULATORIA,BIOPSIAS,971,619,1272780.20,ENERO,2026
AUTORIZACIONES,REGION 0,DISTRITO NACIONAL,DISTRITO NACIONAL,APOYO DIAGNOSTICO DX EN INTERNAMIENTO Y AMBULATORIA,ECOGRAFIAS,4885,2981,2439802.10,ENERO,2026
AUTORIZACIONES,REGION 0,DISTRITO NACIONAL,DISTRITO NACIONAL,APOYO DIAGNOSTICO DX EN INTERNAMIENTO Y AMBULATORIA,LABORATORIOS,64603,5010,7740229.13,ENERO,2026
AUTORIZACIONES,REGION 0,DISTRITO NACIONAL,DISTRITO NACIONAL,APOYO DIAGNOSTICO DX EN INTERNAMIENTO Y AMBULATORIA,OTROS MEDIOS DX,3368,2090,6906402.61,ENERO,2026
AUTORIZACIONES,REGION 0,DISTRITO NACIONAL,DISTRITO NACIONAL,APOYO DIAGNOSTICO DX EN INTERNAMIENTO Y AMBULATORIA,RAYOS X,1712,1442,1143802.13,ENERO,2026
AUTORIZACIONES,REGION 0,DISTRITO NACIONAL,DISTRITO NACIONAL,APOYO DIAGNOSTICO DX EN INTERNAMIENTO Y AMBULATORIA,RESONANCIA NUCLEAR MAGNETICA RNM,895,678,2904627.00,ENERO,2026
AUTORIZACIONES,REGION 0,DISTRITO NACIONAL,DISTRITO NACIONAL,APOYO DIAGNOSTICO DX EN INTERNAMIENTO Y AMBULATORIA,TOMOGRAFIA AXIAL COMPUTARIZADA TAC,813,495,1594855.06,ENERO,2026
