CodigoArticulo,DESCRIPCION,PRESENTACION,Precios,GrupoTerapeutico,Año
1945,Aceite de Higado de Bacalao Emulsión (Vit.A10000UI+D1500UI+Vitc.200mg/5ml) Fco.180ml,Frasco 180 ml,RD$40.00,Vitaminas,2022
1034,Acetaminofén (Paracetamol) ,Tableta 500 mg,RD$0.30,Analgésico/Antipirético,2022
10064,Acetaminofen (Paracetamol) 100 mg Supositorio,Supositorio 100 mg,RD$5.00,Analgésico/Antipirético,2022
1037,Acetaminofén (Paracetamol) Gotas Pedatricas 100 mg/ml,Frasco Gotero 15 ml,RD$15.00,Analgésico/Antipirético,2022
10227,Acetaminofen (Paracetamol) Jbe. 125mg/5ml,Frasco 120 ml,RD$15.00,Analgésico/Antipirético,2022
10741,Acetaminofen+Cafeina ,Tableta 500mg/65 mg,RD$25.00,Analgesico-Antimigrañoso,2022
10593,Acetato De Medroxiprogesterona Inyección de Liberación Retardada 150 mg/ml,Vial,RD$50.00,Hormona Contraceptivas,2022
9370,Acetilcisteína ,Ampolla 300 mg/3 ml,RD$15.00,Mucolítico,2022
1252,Aciclovir ,Tableta 400 mg,RD$1.50,Antiviral,2022
9371,Aciclovir 200 mg/5 mL Suspensión,Frasco 60 ml,RD$40.00,Antiviral,2022
1251,Aciclovir Crema ,Tubo de 5 g,RD$10.00,Antiviral,2022
1041,Acido Acetilsalicílico 325mg,Tableta 325 mg,RD$1.00,Analgésico/Antipirético,2022
1042,Acido Acetilsalicílico 81mg,Tableta 81 mg,RD$0.50,Cardiovasculares/Antitrombotico,2022
9329,Acido Ascórbico (Vit. C) 500 mg,Tableta 500 mg,RD$2.00,Vitaminas,2022
1346,Acido Fólico  5 mg,Tableta 5 mg,RD$0.20,Vitaminas,2022
9358,Acido Fólico + Vit. B12 (5mg + 500mcg)/ 5mL,Frasco 120 ml,RD$25.00,Vitaminas,2022
1345,Acido Fólico 5mg/5mL Jarabe,Frasco 120 ml,RD$13.00,Antianémico,2022
1946,Acido Mefenámico ,Tableta 500 mg,RD$0.70,Antiinflamatorio No Esteroides,2022
9501,Ácido Valpróico ,Tableta 50 mg,RD$12.00,Anticonvulsivante/Trastorno Bipolar,2022
1696,Acido valproico 200 mg/ml Solucion Oral,Frasco 40 ml,RD$90.00,Anticonvulsivante/Trastorno Bipolar,2022
1891,Agua Para Inyectable,Ampolla 10 ml,RD$3.00,Insumo Hospitalario,2022
1893,Agua Para Inyetable,Ampolla 5 ml,RD$3.00,Insumo Hospitalario,2022
1216,Albendazol  Suspensión (dosis única) ,Sobre 400 mg/10 ml,RD$5.00,Antihelmintico/Antiparasitario,2022
1215,Albendazol 400 mg   (dosis unica),Tableta 400 mg,RD$1.00,Antihelmintico/Antiparasitario,2022
9030,Albúmina Humana 20%,Frasco 50 ml,"RD$2,000.00",Sustituto del Plasma,2022
9079,Alcohol Isopropílico  ,Frasco 120 ml,RD$20.00,Insumo Hospitalario,2022
9344,Alendronato ,Tableta 70 mg,RD$1.00,Bifosfonato,2022
9510,Algodón Torunda ,Funda 7 g,RD$5.00,Insumo Hospitalario,2022
9718,Alopurinol 300 mg,Tableta 300 mg,RD$1.50,Uricosúrico,2022
1845,Ambroxol  ,Tableta 30 mg,RD$3.00,Mucolítico,2022
9519,Ambroxol 15 mg/5mL Jarabe,Frasco 120 ml,RD$15.00,Mucolítico,2022
1120,Amikacina  ,Vial 500 mg/2 ml,RD$15.00,Antibiótico/Aminoglucosido,2022
9376,Amiodarona ,Tableta 200 mg,RD$4.00,Cardiovasculares/Antiarritmico,2022
1772,Amitriptilína ,Tableta 25 mg,RD$1.50,Antidepresivo/Trastorno del humor,2022
1405,Amlodipina ,Tableta 5 mg,RD$0.20,Cardiovasculares/Antihipertensivo,2022
1404,Amlodipina ,Tableta 10 mg,RD$0.20,Cardiovasculares/Antihipertensivo,2022
2816,Amoxicilina ,Capsula 500 mg,RD$1.00,Antibacteriano/Antibioticos,2022
3289,Amoxicilina  + Ácido Clavulánico ,Capsula 500 mg/125 mg,RD$5.00,Antibioticos/Betalactámico,2022
3290,Amoxicilina 250 mg + Ácido Clavulánico 62.5 mg /5mL,Frasco 60 ml,RD$60.00,Antibioticos/Betalactámico,2022
3288,Amoxicilina 250mg/5mL Polvo para Suspensión Frasco 120 mL,Frasco 120 ml,RD$25.00,Antibacteriano/Antibioticos,2022
1605,Antiespasmódico (N-Butil Bromuro-Hioscina)  20 mg/1 ml,Ampolla ,RD$15.00,Antiespasmódico,2022
1606,Antiespasmodico N-Butil Hioscina-Bromuro de Hioscina ,Tableta 10 mg,RD$5.00,Antiespasmódico,2022
10982,Antigripal ,Tableta ,RD$3.00,Antigripal,2022
1877,Antigripal (con Dextrometorfan 10 mg),Frasco 120 ml,RD$15.00,Antigripal,2022
9484,Atenolol ,Tableta 50 mg,RD$0.20,Cardiovasculares/Antihipertensivo,2022
1378,Atenolol  ,Tableta  100 mg,RD$0.30,Cardiovasculares/Antihipertensivo,2022
1381,Atenolol + Clortalidona ,Tableta 50 mg/12.5 mg,RD$1.50,Cardiovasculares/Antihipertensivo,2022
1379,Atenolol + Clortalidona 100 mg / 25 mg,Tableta 100mg/25mg,RD$2.00,Cardiovasculares/Antihipertensivo,2022
