CodigoArticulo,DESCRIPCION,PRESENTACION,Precios,GrupoTerapeutico,Año
1945,Aceite de Higado de Bacalao Emulsión (Vit.A10000UI+D1500UI+Vitc.200mg/5ml) Fco.180ml,Frasco 180 ml,40.0,Vitamina,2022
1034,Acetaminofén (Paracetamol),Tableta 500 mg,0.3,Analgesico,2022
10064,Acetaminofen (Paracetamol) 100 mg Supositorio,Supositorio 100 mg,5.0,Analgesico,2022
1037,Acetaminofén (Paracetamol) Gotas Pedatricas 100 mg/ml,Frasco Gotero 15 ml,15.0,Analgesico,2022
10227,Acetaminofen (Paracetamol) Jbe. 125mg/5ml,Frasco 120 ml,15.0,Analgesico,2022
10741,Acetaminofen+Cafeina,Tableta 500mg/65 mg,25.0,Analgesico-Antimigranoso,2022
10593,Acetato De Medroxiprogesterona Inyección de Liberación Retardada 150 mg/ml,Vial,50.0,Hormona Contraceptiva,2022
9370,Acetilcisteína,Ampolla 300 mg/3 ml,15.0,Mucolitico,2022
1252,Aciclovir,Tableta 400 mg,1.5,Antiviral,2022
9371,Aciclovir 200 mg/5 mL Suspensión,Frasco 60 ml,40.0,Antiviral,2022
1251,Aciclovir Crema,Tubo de 5 g,10.0,Antiviral,2022
1041,Acido Acetilsalicílico 325mg,Tableta 325 mg,1.0,Analgesico,2022
1042,Acido Acetilsalicílico 81mg,Tableta 81 mg,0.5,Cardiovascular,2022
9329,Acido Ascórbico (Vit. C) 500 mg,Tableta 500 mg,2.0,Vitamina,2022
1346,Acido Fólico 5 mg,Tableta 5 mg,0.2,Vitamina,2022
9358,Acido Fólico + Vit. B12 (5mg + 500mcg)/ 5mL,Frasco 120 ml,25.0,Vitamina,2022
1345,Acido Fólico 5mg/5mL Jarabe,Frasco 120 ml,13.0,Antianemico,2022
1946,Acido Mefenámico,Tableta 500 mg,0.7,Antiinflamatorio No Esteroid,2022
9501,Ácido Valpróico,Tableta 50 mg,12.0,Anticonvulsivante,2022
1696,Acido valproico 200 mg/ml Solucion Oral,Frasco 40 ml,90.0,Anticonvulsivante,2022
1891,Agua Para Inyectable,Ampolla 10 ml,3.0,Insumo Hospitalario,2022
1893,Agua Para Inyetable,Ampolla 5 ml,3.0,Insumo Hospitalario,2022
1216,Albendazol Suspensión (dosis única),Sobre 400 mg/10 ml,5.0,Antihelmintico,2022
1215,Albendazol 400 mg (dosis unica),Tableta 400 mg,1.0,Antihelmintico,2022
9030,Albúmina Humana 20%,Frasco 50 ml,2000.0,Sustituto Del Plasma,2022
9079,Alcohol Isopropílico,Frasco 120 ml,20.0,Insumo Hospitalario,2022
9344,Alendronato,Tableta 70 mg,1.0,Bifosfonato,2022
9510,Algodón Torunda,Funda 7 g,5.0,Insumo Hospitalario,2022
9718,Alopurinol 300 mg,Tableta 300 mg,1.5,Uricosurico,2022
1845,Ambroxol,Tableta 30 mg,3.0,Mucolitico,2022
