rank,finalWorth,category,personName,age,country,city,source,industries,countryOfCitizenship,selfMade,status,gender,birthDate,lastName,firstName,date,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country
1,211000,fashion & retail,bernard arnault & family,74.0,france,paris,lvmh,fashion & retail,france,False,u,m,1949-03-05 00:00:00,arnault,bernard,2023-04-04 05:01:00,1949.0,3.0,5.0,110.05,1.1,2715518274227,65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749
2,180000,automotive,elon musk,51.0,united states,austin,"tesla, spacex",automotive,united states,True,d,m,1971-06-28 00:00:00,musk,elon,2023-04-04 05:01:00,1971.0,6.0,28.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
3,114000,technology,jeff bezos,59.0,united states,medina,amazon,technology,united states,True,d,m,1964-01-12 00:00:00,bezos,jeff,2023-04-04 05:01:00,1964.0,1.0,12.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
4,107000,technology,larry ellison,78.0,united states,lanai,oracle,technology,united states,True,u,m,1944-08-17 00:00:00,ellison,larry,2023-04-04 05:01:00,1944.0,8.0,17.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
5,106000,finance & investments,warren buffett,92.0,united states,omaha,berkshire hathaway,finance & investments,united states,True,d,m,1930-08-30 00:00:00,buffett,warren,2023-04-04 05:01:00,1930.0,8.0,30.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
6,104000,technology,bill gates,67.0,united states,medina,microsoft,technology,united states,True,d,m,1955-10-28 00:00:00,gates,bill,2023-04-04 05:01:00,1955.0,10.0,28.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
7,94500,media & entertainment,michael bloomberg,81.0,united states,new york,bloomberg lp,media & entertainment,united states,True,u,m,1942-02-14 00:00:00,bloomberg,michael,2023-04-04 05:01:00,1942.0,2.0,14.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
8,93000,telecom,carlos slim helu & family,83.0,mexico,mexico city,telecom,telecom,mexico,True,u,m,1940-01-28 00:00:00,slim helu,carlos,2023-04-04 05:01:00,1940.0,1.0,28.0,141.54,3.6,1258286717125,40.2,105.8,75.0,13.1,55.1,126014024.0,23.634501,-102.552784
9,83400,diversified,mukesh ambani,65.0,india,mumbai,diversified,diversified,india,False,d,m,1957-04-19 00:00:00,ambani,mukesh,2023-04-04 05:01:00,1957.0,4.0,19.0,180.44,7.7,2611000000000,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
10,80700,technology,steve ballmer,67.0,united states,hunts point,microsoft,technology,united states,True,d,m,1956-03-24 00:00:00,ballmer,steve,2023-04-04 05:01:00,1956.0,3.0,24.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
